Year,Actual_CO2,Predicted_CO2,Error,Absolute_Error
1969.0,1.2041828571428572,1.1070195,0.09716331349509111,0.09716331349509111
1970.0,1.2718685714285713,1.1070195,0.16484902778080524,0.16484902778080524
1971.0,1.35252,1.1070195,0.24550045635223383,0.24550045635223383
1972.0,1.43808,1.1070195,0.3310604563522339,0.3310604563522339
1973.0,1.4474685714285713,1.1070195,0.3404490277808052,0.3404490277808052
1974.0,1.4727485714285713,1.1070195,0.3657290277808052,0.3657290277808052
1975.0,1.5450342857142858,1.1070195,0.4380147420665197,0.4380147420665197
1976.0,1.6150171428571427,1.1070195,0.5079975992093766,0.5079975992093766
1977.0,1.7333885714285715,1.1070195,0.6263690277808054,0.6263690277808054
1978.0,1.7726171428571431,1.1070195,0.665597599209377,0.665597599209377
1979.0,1.796657142857143,1.1070195,0.6896375992093768,0.6896375992093768
1980.0,1.7966628571428571,1.1070195,0.689643313495091,0.689643313495091
1981.0,1.803297142857143,1.1070195,0.6962775992093768,0.6962775992093768
1982.0,1.836142857142857,1.1070195,0.729123313495091,0.729123313495091
1983.0,1.8649428571428572,1.1070195,0.7579233134950911,0.7579233134950911
1984.0,1.8958114285714285,1.1070195,0.7887918849236624,0.7887918849236624
1985.0,1.9792057142857142,1.1070195,0.8721861706379481,0.8721861706379481
1986.0,2.060434285714286,1.1070195,0.9534147420665198,0.9534147420665198
1987.0,2.1746285714285714,1.1070195,1.0676090277808052,1.0676090277808052
1988.0,2.217942857142857,1.1070195,1.1109233134950909,1.1109233134950909
1989.0,2.220074285714286,1.1070195,1.1130547420665198,1.1130547420665198
1990.0,2.3047142857142857,1.1070195,1.1976947420665196,1.1976947420665196
1991.0,2.4082057142857143,1.1070195,1.3011861706379482,1.3011861706379482
1992.0,2.5134,1.1070195,1.4063804563522337,1.4063804563522337
1993.0,2.7019257142857143,1.1070195,1.5949061706379482,1.5949061706379482
1994.0,2.8772857142857147,1.1070195,1.7702661706379486,1.7702661706379486
1995.0,2.9452628571428576,1.1070195,1.8382433134950915,1.8382433134950915
1996.0,3.0647371428571426,1.1070195,1.9577175992093765,1.9577175992093765
1997.0,3.0645999999999995,1.1070195,1.9575804563522334,1.9575804563522334
1998.0,3.2326057142857145,1.1070195,2.1255861706379484,2.1255861706379484
1999.0,3.403828571428571,1.1070195,2.296809027780805,2.296809027780805
2000.0,3.5714742857142854,1.1070195,2.4644547420665193,2.4644547420665193
2001.0,3.689977142857143,1.1070195,2.5829575992093767,2.5829575992093767
2002.0,4.13056,1.1070195,3.023540456352234,3.023540456352234
2003.0,4.315697142857142,1.1070195,3.208677599209376,3.208677599209376
2004.0,4.643594285714286,1.1070195,3.53657474206652,3.53657474206652
2005.0,5.098708571428571,1.1070195,3.9916890277808053,3.9916890277808053
2006.0,5.521628571428571,1.1070195,4.414609027780805,4.414609027780805
2007.0,5.63476,1.1070195,4.527740456352234,4.527740456352234
2008.0,5.913999999999999,1.1070195,4.806980456352233,4.806980456352233
2009.0,6.318657142857142,1.1070195,5.211637599209376,5.211637599209376
2010.0,6.83136,1.1070195,5.724340456352234,5.724340456352234
2011.0,7.020914285714286,1.1070195,5.91389474206652,5.91389474206652
2012.0,7.336131428571428,1.1070195,6.229111884923662,6.229111884923662
2013.0,7.554748571428571,1.1070195,6.447729027780805,6.447729027780805
2014.0,7.240754285714286,1.1070195,6.13373474206652,6.13373474206652
2015.0,7.433034285714285,1.1070195,6.326014742066519,6.326014742066519
2016.0,7.49192,1.1070195,6.384900456352234,6.384900456352234
2017.0,7.718222857142858,1.1070195,6.611203313495092,6.611203313495092
2018.0,8.097434285714286,1.1070195,6.99041474206652,6.99041474206652
2019.0,8.129434285714286,1.1070195,7.02241474206652,7.02241474206652
2020.0,8.408451428571428,1.1070195,7.301431884923662,7.301431884923662
2021.0,7.941234285714285,1.1070195,6.834214742066519,6.834214742066519
2022.0,7.810022857142858,1.1070195,6.703003313495092,6.703003313495092
